Date Found,Company,Role,Base Score,Penalties Applied,Final Score,Applied (Y/N),Platform,URL,Source,Notes
2026-09-14,Adobe,"Lead Applied Researcher, Express AI Foundations",20,"Domain mismatch: requires PhD in CS/ML + hands-on deep learning framework experience (PyTorch/TensorFlow/JAX) for generative AI research; her PhD and technical background are in psychology/behavioral science, not CS/ML",10,N,workday,https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Jose/Principal-Applied-Researcher_R167861,API,"Title matches ""Applied/Research Scientist"" nominally but core function is ML/GenAI engineering research, not applied behavioral or perceptual science. Scored via representative sample of this Adobe job family (see Lead Applied Researcher R167861, Manager Applied Research R169322, Research Scientist R166368 for full descriptions fetched)."
2026-09-14,Adobe,"Manager, Applied Research",20,"Domain mismatch: requires PhD in CS/ML + hands-on deep learning framework experience (PyTorch/TensorFlow/JAX) for generative AI research; her PhD and technical background are in psychology/behavioral science, not CS/ML",10,N,workday,https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Jose/Manager--Applied-Science-for-Data_R169322,API,"Title matches ""Applied/Research Scientist"" nominally but core function is ML/GenAI engineering research, not applied behavioral or perceptual science. Scored via representative sample of this Adobe job family (see Lead Applied Researcher R167861, Manager Applied Research R169322, Research Scientist R166368 for full descriptions fetched)."
2026-09-14,Adobe,"Staff Applied Scientist, 3D - Firefly Foundry",20,"Domain mismatch: requires PhD in CS/ML + hands-on deep learning framework experience (PyTorch/TensorFlow/JAX) for generative AI research; her PhD and technical background are in psychology/behavioral science, not CS/ML",10,N,workday,https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Jose/Staff-Applied-Scientist--3D---Firefly-Foundry_R168500,API,"Title matches ""Applied/Research Scientist"" nominally but core function is ML/GenAI engineering research, not applied behavioral or perceptual science. Scored via representative sample of this Adobe job family (see Lead Applied Researcher R167861, Manager Applied Research R169322, Research Scientist R166368 for full descriptions fetched)."
2026-09-14,Adobe,Applied Scientist 5.5,20,"Domain mismatch: requires PhD in CS/ML + hands-on deep learning framework experience (PyTorch/TensorFlow/JAX) for generative AI research; her PhD and technical background are in psychology/behavioral science, not CS/ML",10,N,workday,https://adobe.wd5.myworkdayjobs.com/external_experienced/job/Bangalore/Applied-Scientist-55_R169437,API,"Title matches ""Applied/Research Scientist"" nominally but core function is ML/GenAI engineering research, not applied behavioral or perceptual science. Scored via representative sample of this Adobe job family (see Lead Applied Researcher R167861, Manager Applied Research R169322, Research Scientist R166368 for full descriptions fetched)."
2026-09-14,Adobe,Senior Applied Scientist,20,"Domain mismatch: requires PhD in CS/ML + hands-on deep learning framework experience (PyTorch/TensorFlow/JAX) for generative AI research; her PhD and technical background are in psychology/behavioral science, not CS/ML",10,N,workday,https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Jose/Machine-Learning-Engineer-5_R169103,API,"Title matches ""Applied/Research Scientist"" nominally but core function is ML/GenAI engineering research, not applied behavioral or perceptual science. Scored via representative sample of this Adobe job family (see Lead Applied Researcher R167861, Manager Applied Research R169322, Research Scientist R166368 for full descriptions fetched)."
2026-09-14,Adobe,Research Scientist II,20,"Domain mismatch: requires PhD in CS/ML + hands-on deep learning framework experience (PyTorch/TensorFlow/JAX) for generative AI research; her PhD and technical background are in psychology/behavioral science, not CS/ML",10,N,workday,https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Francisco/Research-Scientist-II_R171628,API,"Title matches ""Applied/Research Scientist"" nominally but core function is ML/GenAI engineering research, not applied behavioral or perceptual science. Scored via representative sample of this Adobe job family (see Lead Applied Researcher R167861, Manager Applied Research R169322, Research Scientist R166368 for full descriptions fetched)."
2026-09-14,Adobe,Senior Applied Scientist,20,"Domain mismatch: requires PhD in CS/ML + hands-on deep learning framework experience (PyTorch/TensorFlow/JAX) for generative AI research; her PhD and technical background are in psychology/behavioral science, not CS/ML",10,N,workday,https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Jose/Senior-Applied-Scientist_R169113-1,API,"Title matches ""Applied/Research Scientist"" nominally but core function is ML/GenAI engineering research, not applied behavioral or perceptual science. Scored via representative sample of this Adobe job family (see Lead Applied Researcher R167861, Manager Applied Research R169322, Research Scientist R166368 for full descriptions fetched)."
2026-09-14,Adobe,"Senior Machine Learning Engineer, Applied Science Data Frameworks",20,"Domain mismatch: requires PhD in CS/ML + hands-on deep learning framework experience (PyTorch/TensorFlow/JAX) for generative AI research; her PhD and technical background are in psychology/behavioral science, not CS/ML",10,N,workday,https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Jose/Senior-Machine-Learning-Engineer--Applied-Science-Data-Frameworks_R171469,API,"Title matches ""Applied/Research Scientist"" nominally but core function is ML/GenAI engineering research, not applied behavioral or perceptual science. Scored via representative sample of this Adobe job family (see Lead Applied Researcher R167861, Manager Applied Research R169322, Research Scientist R166368 for full descriptions fetched)."
2026-09-14,Adobe,"Senior Applied Scientist / Engineer, Training & Inference",20,"Domain mismatch: requires PhD in CS/ML + hands-on deep learning framework experience (PyTorch/TensorFlow/JAX) for generative AI research; her PhD and technical background are in psychology/behavioral science, not CS/ML",10,N,workday,https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Jose/Senior-Applied-Scientist---Engineer--Training---Inference_R170212,API,"Title matches ""Applied/Research Scientist"" nominally but core function is ML/GenAI engineering research, not applied behavioral or perceptual science. Scored via representative sample of this Adobe job family (see Lead Applied Researcher R167861, Manager Applied Research R169322, Research Scientist R166368 for full descriptions fetched)."
2026-09-14,Adobe,Research Scientist (Applied) - IV,20,"Domain mismatch: requires PhD in CS/ML + hands-on deep learning framework experience (PyTorch/TensorFlow/JAX) for generative AI research; her PhD and technical background are in psychology/behavioral science, not CS/ML",10,N,workday,https://adobe.wd5.myworkdayjobs.com/external_experienced/job/Noida/Applied-Scientist-4_R171067,API,"Title matches ""Applied/Research Scientist"" nominally but core function is ML/GenAI engineering research, not applied behavioral or perceptual science. Scored via representative sample of this Adobe job family (see Lead Applied Researcher R167861, Manager Applied Research R169322, Research Scientist R166368 for full descriptions fetched)."
